park_id,buffer_km,in_out,mean_tc,median_tc,sd_tc,n_pixels
454407,5,out,47.42077132676588,49.0,19.240721558161702,9542
454407,5,out,47.42077132676588,49.0,19.240721558161702,9542
454408,5,out,15.725082310685423,9.0,17.221482620967382,13364
454408,5,in,18.862826261929403,12.0,14.242367937499473,8697
454408,5,out,15.725082310685423,9.0,17.221482620967382,13364
454408,5,in,18.862826261929403,12.0,14.242367937499473,8697
454425,5,out,37.44955489614243,31.0,22.438269584314675,4044
454426,5,out,38.11752630228381,34.0,18.60480079201427,7794
454426,5,out,38.11752630228381,34.0,18.60480079201427,7794
454428,5,out,24.38161169881767,17.0,19.353573651494465,6428
454428,5,out,24.38161169881767,17.0,19.353573651494465,6428
548598,5,out,52.45928065598211,56.0,13.516269670707251,21464
548598,5,in,51.367777183918285,56.0,14.348063884131287,16839
548598,5,out,52.45928065598211,56.0,13.516269670707251,21464
548598,5,in,51.367777183918285,56.0,14.348063884131287,16839
548598,5,out,52.45928065598211,56.0,13.516269670707251,21464
548598,5,in,51.367777183918285,56.0,14.348063884131287,16839
548598,5,out,52.45928065598211,56.0,13.516269670707251,21464
548598,5,in,51.367777183918285,56.0,14.348063884131287,16839
548599,5,out,71.08167078709826,75.0,21.36768565797748,69572
548599,5,in,67.98499960977132,70.0,14.265779790440654,64065
548599,5,out,71.08167078709826,75.0,21.36768565797748,69572
548599,5,in,67.98499960977132,70.0,14.265779790440654,64065
548599,5,out,71.08167078709826,75.0,21.36768565797748,69572
548599,5,in,67.98499960977132,70.0,14.265779790440654,64065
548599,5,out,71.08167078709826,75.0,21.36768565797748,69572
548599,5,in,67.98499960977132,70.0,14.265779790440654,64065
548599,5,out,71.08167078709826,75.0,21.36768565797748,69572
548599,5,in,67.98499960977132,70.0,14.265779790440654,64065
548599,5,out,71.08167078709826,75.0,21.36768565797748,69572
548599,5,in,67.98499960977132,70.0,14.265779790440654,64065
548599,5,out,71.08167078709826,75.0,21.36768565797748,69572
548599,5,in,67.98499960977132,70.0,14.265779790440654,64065
548599,5,out,71.08167078709826,75.0,21.36768565797748,69572
548599,5,in,67.98499960977132,70.0,14.265779790440654,64065
548599,5,out,71.08167078709826,75.0,21.36768565797748,69572
548599,5,in,67.98499960977132,70.0,14.265779790440654,64065
548599,5,out,71.08167078709826,75.0,21.36768565797748,69572
548599,5,in,67.98499960977132,70.0,14.265779790440654,64065
548600,5,out,55.42442936458976,58.0,15.11474011220734,40525
548600,5,in,55.07728176119859,59.0,15.49485385407974,26164
548600,5,out,55.42442936458976,58.0,15.11474011220734,40525
